"",""
"All product attributes listed above are accessible by the <em>{attribute_name}</em> consruction.<br />Additional variables:<br /><em>{product_url}</em>&nbsp;- link to product page<br /><em>{thumbnail_url}</em>&nbsp;- product thumbnail URL","All product attributes listed above are accessible by the <em>{attribute_name}</em> consruction.<br />Additional variables:<br /><em>{product_url}</em>&nbsp;- link to product page<br /><em>{thumbnail_url}</em>&nbsp;- product thumbnail URL"
"In milliseconds, e.g. 500 means 0.5 of second","In milliseconds, e.g. 500 means 0.5 of second"
"Interface Settings","Interface Settings"
"Number of products to display","Number of products to display"
"Only attributes of <strong>text</strong> and <strong>varchar</strong> type are available","Only attributes of <strong>text</strong> and <strong>varchar</strong> type are available"
"Open link in a new window","Open link in a new window"
"Preloader image","Preloader image"
"Query delay","Query delay"
"Search attributes","Search attributes"
"Search Autocomplete and Suggest","Search Autocomplete and Suggest"
"Search entire store here...","Search entire store here..."
"Search result item template","Search result item template"
"Search results footer","Search results footer"
"Search results header","Search results header"
"Search","Search"
"Search Site","Search Site"
"Show products","Show products"
"Thumbnail width (px)","Thumbnail width (px)"
"Use Advanced Search as backend","Use Advanced Search as backend"
"this option requires aheadWorks Advanced Search extension to be installed and configured properly.","this option requires aheadWorks Advanced Search extension to be installed and configured properly."
