Id,title,description,link,price,brand,condition,image_link,gtin,shipping,product_type,google_product_category,color,size,mpn,"age group",gender,availability,c:druse:boolean,item_group_id
GM0120,"Community Dances Manual, 1-7","Community Dances Manual, 1-7",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/215/s/community-dances-manual-1-7/,16.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0120_1.jpg,0,,simple,,,,,,,"In stock",,
GM0201D,"Ceilidh Party CD - ThingumaJig","Ceilidh Party CD - ThingumaJig",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/216/s/ceilidh-party-cd-thingumajig/,8.33,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0201d_1.jpg,5051293000012,,simple,,,,,,,"In stock",,
GM0202D,"Blackthorn - Far From Home, CD","Blackthorn - Far From Home, CD",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/217/s/blackthorn-far-from-home-cd/,8.33,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0202d_1.jpg,5016235196598,,simple,,,,,,,"In stock",,
GM0203D,"Madrid Sessions CD","Madrid Sessions CD",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/218/s/madrid-sessions-cd/,8.33,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0203d_1.jpg,5016235196826,,simple,,,,,,,"In stock",,
GM0204D,"Wish Hill - All Jigged Out","Wish Hill - All Jigged Out",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/219/s/wish-hill-all-jigged-out/,8.33,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0204d_1.jpg,5016235196833,,simple,,,,,,,"In stock",,
GM0205D,"Perfect World","Perfect World",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/220/s/perfect-world/,8.33,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0205d_1.jpg,5016235196840,,simple,,,,,,,"In stock",,
GM0206D,"Feet Don't Fail Me Now","Feet Don't Fail Me Now",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/221/s/feet-don-t-fail-me-now/,8.33,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0206d_1.jpg,5051293000029,,simple,,,,,,,"Out of stock",,
GM0207D,"My Dancing Heart -Blabbermouth","My Dancing Heart -Blabbermouth",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/222/s/my-dancing-heart-blabbermouth/,8.33,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0207d_1.jpg,5051293000036,,simple,,,,,,,"In stock",,
GM0208D,"Revisited - Phil Hardy","Revisited - Phil Hardy",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/223/s/revisited-phil-hardy/,8.33,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0208d_1.jpg,5051293009084,,simple,,,,,,,"In stock",,
GM0209D,"The River That Runs Below","The River That Runs Below",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/224/s/the-river-that-runs-below/,8.33,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0209d_1.jpg,5051293009244,,simple,,,,,,,"In stock",,
